All,Всички
"Please specify a rating title for a store, or we'll just use the default value.","Моля, посочете рейтинг заглавие за магазин, или просто ще използваме стойността по подразбиране."
"Assigned Options","Присвоените опции"
"Option Title:","Опция за заглавие:"
Rating,рейтинг
"You have submitted no reviews.","Нямате подадени отзиви."
"My Recent Reviews","Моите последни отзиви"
"View All","Виж всички"
"Average Customer Rating:","Средна стойност на клиентски рейтинг:"
"Your Review","Вашия отзив"
"Submitted on %1","Представено на %1"
"Back to My Reviews","Обратно към моите отзиви"
"Ratings Review Summary","Преглед на обобщение за рейтинги"
"Be the first to review this product","Бъдете първият  оценил този продукт"
"Write Your Own Review","Напишете вашето мнение"
"You're reviewing:","Вие оценявате:"
"Your Rating","Вашият рейтинг"
"Submit Review","Редактиране на отзив"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Само регистрирани потребители могат да оставят мнения. Моля <a href=""%1"">влезте в профила си</a> или си направете <a href=""%2"">регистрация</a>"
"Add Your Review","Напишете отзив"
"%1 Review(s)","%1 Отзив(и)"
"Review by","Оценен от "
"Posted on","Публикувано на"
"Back to Main Product Info","Обратно към информацията за основния продукт"
"Average Customer Rating","Средностойностен клиентски рейтинг"
"Product Rating:","Продукт рейтинг: "
"Product Review (submitted on %1):","Отзиви за продукта (представено на %1):"
"Back to Product Reviews","Обратно към отзиви за продукта"
"Please select one of each of the ratings above.","Моля изберете една от оценките по-горе."
"Allow Guests to Write Reviews","Позволи на гостите да пишат коментари"
"The storage key wasn't set. Add the storage key and try again.","Ключът за съхранение не е зададен. Добавете ключа за съхранение и опитайте отново."
"Reward Points History","Наградни точки история"
"Expired reward","Изтекла награда"
"No Data","Няма данни"
"Currency Amount","Сума във валута"
"Reward Points Threshold","Праг на наградни точки"
"Reward Points Cap","Закриване на наградни точки"
"Delete Orphan Points","Изтрий изостаналите точки"
"Update Reward Points Balance","Актуализация награда точки баланс"
"Update Points","Актуализиране точки"
"Enter a negative number to subtract from the balance.","Въведете отрицателно число за да извадите баланса от равновесие."
"Reward Points Notifications","Награда точки уведомления"
"Subscribe for Balance Updates","Абонирайте се за актуализации на баланс"
"Subscribe for Points Expiration Notifications","Абонирайте се за уведомяване при изтичане на точките"
"Reward Exchange Rates","Компенсирай обменни курсове"
"Add New Rate","Добавяне на нов курс"
"Edit Reward Exchange Rate","Редактиране на компенсиране на обменен курс"
"New Reward Exchange Rate","Нова награда обменен курс"
"Reward Exchange Rate Information","Награда обменен курс информация"
Direction,Посока
"Use your reward points; %1 are available.","Използвайте вашите наградни точки; %1 са на разположение."
"This applies only to registered users and may vary when a user is logged in.","Това се отнася само за регистрирани потребители и могат да варират, когато потребителят е влязъл."
"You removed the orphan points.","Премахнахте изостаналите точки."
"Manage Reward Exchange Rates","Управление на наградни обменни курсове"
"You deleted the rate.","Изтрихте този курс."
"You saved the rate.","Записахте курс."
"We can't save this rate right now.","Не може да запише този процент точно сега."
"Please enter all rate information.","Моля въведете цялата информация за курс."
"Please enter a positive integer number in the left rate field.","Въведете положително цяло число в лявото поле за курс."
"Please enter a positive number in the right-side rate field.","Въведете положително число в дясното поле за курс."
"Please enter a positive integer number in the right-side rate field.","Въведете положително цяло число в дясното поле за курс."
"Please enter a positive number in the left-side rate field.","Въведете положително число в дясното поле за курс."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Съжаляваме, но курс за същия сайт, клиентска група и посока или покриващи курс вече съществува."
"You saved the settings.","Записахте настройките."
"You can't unsubscribed right now.","Не може да се отпишете точно сега."
"%1 Reward points (%2)","%1 наградни точки (%2)"
"%1 Reward points","%1 наградни точки"
"Updated by moderator","Актуализирано от модератор"
"Refunded from order #%1","Възстановяване от поръчка #%1"
"Points voided at order #%1 refund.","Точки от анулирана поръчка #%1 възстановяване."
"The invitation to %1 converted into a customer.","Поканата за %1 превърната в клиент."
"The invitation to %1 converted into an order.","Поканата за %1 превърната в поръчка."
"Signed up for newsletter with email %1","Записан за бюлетин с имейл %1"
"Redeemed for order #%1","Изкупени за поръчка #%1"
"Earned points for order #%1","Спечелени точки за поръчка #%1"
"Reverted from incomplete order #%1","Обменени от непълна поръчка #%1"
"Registered as customer","Регистриран като клиент"
"For submitting a product review","За подаване на преглед на продукт"
"Earned promotion extra points from order #%1","Спечелил промоция допълнителни точки от поръчка #%1"
"%1 store reward points available (%2)","%1 магазин достъпни наградни (%2)"
"%1 store reward points available","%1 съхранява налични наградни точки"
"%1 was deducted because of refund.","%1 бе извадена заради възстановяване."
"The action ID you enter must be a number.","Въведеният ИД на действие трябва да бъде число."
"You don't have enough reward points to pay for this purchase.","Нямате достатъчно точки, за да платите тази покупка."
"Points to Currency","Точки за валута"
"Currency to Points","Валута към точки"
Each,Всеки
First,Първи
"Customer earned promotion extra %1.","Клиент, спечелил промоция допълнителни %1."
"The customer earned %1 for this order.","Клиентът получава %1 за тази поръчка."
"Reward Points Balance","Баланс на наградни точки"
"upper boundary","горна граница"
"Refund Reward Points","Възстановяване на наградни точки"
"Reward Points refunded to customer","Наградни точки възстановени на клиента"
Points,Точки
"Expires on %1","Изтича на %1"
"There is no balance history.","Няма история на баланса."
"Reward points balance Information","Информация за баланса на наградните точки"
"Your balance is %1.","Балансът ви е %1."
"Current exchange rates:","Текущите валутни курсове:"
"%1 spent = %2 earned","%1 изхарчен = %2 спечелен"
"Balance limit is %1.","Лимитът е %1."
"Maximum balance is reached","Максималният баланс е постигнат"
"Minimum Balance in order to redeem: %1.","Минимално салдо за да изкупи: %1."
"You need a higher balance to use your rewards points.","Имате нужда от по-висок баланс, за да използвате вашите точки за награди."
"Each earned reward points award expires in %1 days.","Всички спечелени наградни точки изтичат след %1 дни."
"Refer to reward points history to see when a specific record expires.","Отнася се за наградни точки историята, за да видите кога изтича определен запис."
"Email Notification Settings","Имейл настройки за уведомяване"
"Save Subscription Settings","Записване на настройките на абонамент"
"Reward Points Balance Updated at %store_name","Награда точки баланс, актуализирана на %store_name"
"You have %points_balance points that may be used in our store:","Имате %points_balance точки, които могат да бъдат използвани в нашия магазин:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url""> отписване</a> от тези уведомления."
"Reward Points Expiry Warning at %store_name","Наградни точки предупреждение за изтичане на %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Има % remaining_days дните, оставащи да използвате %points_expiring на вашите награда точки."
"After %remaining_days day(s) these points will expire.","След % remaining_days ден(ни) тези точки ще изтекат."
"You have a total of %points_balance points that may be used in our store:","Вие имате общо %points_balance точки, които могат да бъдат използвани в нашия магазин:"
"Reward points","Наградни точки"
"Use reward points","Използвайте нагадни точки"
"Your reward point was successfully applied","Вашата награда точка беше успешно приложена"
"Manage Reward Points Balances","Управление на баланса на наградни точки"
"Can Spend Reward Points","Могат да изхарчат наградни точки"
"Enable Reward Points Functionality","Разреши функционалност на наградни точки"
"Enable Reward Points Functionality on Storefront","Разреши функционалността за бонус точки в магазина"
"Customers May See Reward Points History","Клиентите могат да виждат историята на наградните точки"
"Rewards Points Balance Redemption Threshold","Праг на баланса за обратно изкупуване на наградни точки"
"An empty value disables this limitation.","Празната стойност забранява това ограничение."
"Cap Reward Points Balance At","Наградни точки баланс в"
"Reward Points Expire in (days)","Наградните точки изтичат през (дни)"
"Reward Points Expiry Calculation","Наградни точки изтичане изчисление"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Статичен"" определя датата на изтичане, точно когато балансът се увеличава. ""Динамичен"" не разполага с дата на валидност, но изчислява един, когато балансът се проверяват за изтичане."
"Refund Reward Points Automatically","Автоматично възстановяване на точки награда"
"Deduct Reward Points from Refund Amount Automatically","Приспада наградни точки от сумата автоматично"
"Actions for Acquiring Reward Points by Customers","Действия за придобиване на възнаграждение точки от клиенти"
Purchase,Покупка
"Added for spent money according to reward exchange rates.","Добавено за изразходвани пари награда обменен курс."
Registration,Регистрация
"Newsletter Signup","Абониране за бюлетин"
"Only for customers who subscribe for the first time.","Само за клиенти, които се абонират за първи път."
"Converting Invitation to Customer","Конвертиране на покана в клиент"
"Invitation to Customer Conversions Quantity Limit","Покана за клиента реализации количествен лимит"
"Converting Invitation to Order","Конвертиране на покана в поръчка"
"Invitation to Order Conversions Quantity Limit","Покана за количествен лимит на поръчано количество"
"Invitation Conversion to Order Reward","Покана преход към поръчка за награда"
"Review Submission","Предаването на анотации"
"After approval by administrator.","След одобрение от администратор."
"Rewarded Reviews Submission Quantity Limit","Ограничение за броя на изпратени отзиви за награждаване"
"Subscribe Customers by Default","Абонирай клиенти по подразбиране"
"Balance Update Email","Баланс актуализация имейл"
"Reward Points Expiry Warning Email","Наградни точки изтичане предупреждение имейл"
"Expiry Warning Before (days)","Изтичане предупреждение преди (дни)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Въвеждане без стойност или стойност по-голяма от живота на изтичане забранява предупреждение съобщаване."
"Reward Points Rates","Наградни точки цени"
"Amount Balance","Сума баланс"
"Add Reward Points","Добавяне на наградни точки"
"Check out now and earn %1 for this order.","Вижте сега и Спечелете %1 за тази поръчка."
"Create an account on our site now and earn %1.","Създайте акаунт в нашия сайт сега и печелят %1."
"Subscribe to our newsletter now and earn %1.","Абонирайте се за нашия бюлетин сега и спечелете %1."
"Submit a review now and earn %1 after the review is approved.","Дайте своята оценка сега и спечелете %1 след като оценката е одобрена."
"You can reward up to %1 new reviews(s).","Можете наградите максимум %1 нови отзива."
"Reward points should be a valid integer number.","Наградните точки трябва да са валидно цяло число."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Изпрати тази покана сега и Спечелете %1 когато поканения се абонира за нашия сайт."
"Earn %1 for purchases your invitees make.","Спечелете %1 за покупки на вашите поканени."
"You can reward up to %1 invitee purchase(s).","Можете да възнагради до %1 поканения покупка(и)."
"Sign in now and earn %1 for this order.","Влезте сега и Спечелете %1 за тази поръчка."
Return,Връщане
Returns,Рекламации
"Create Returns","Създай рекламации"
"Select Items","Избор на елементи"
"New Return Request","Ново искане за връщане"
"Create New RMA for %1 in %2","Създаване на нов RMA за %1 в %2"
"Create New RMA for %1","Създаване на нов RMA за %1"
"Create New RMA","Създаване на нов RMA"
"Please Select Order","Моля изберете поръчка"
"Grand Total (Base)","Обща сума (основа)"
"Grand Total (Purchased)","Обща сума (закупени)"
"Are you sure you want to close this returns request?","Наистина ли искате да затворите тази молба за връщане?"
"Return #%1 - %2","Върни #%1 - %2"
"RMA Item Details","RMA елемент подробности"
"Submit Comment","Подаване на коментар"
"Custom Value","Стойност по избор"
"Print Shipping Label","Печат на етикети за доставка"
"Show Packages","Покажи пакетите"
"Return Items","Връщане на елементи"
Returned,Върнат
"Return Reason","Причини за рекламация"
"Item Condition","Състояние на продукта"
Resolution,Решение
Split,Раздели
"Return Information","Информация за Връщане"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Избрали сте да промените статуса на избрания RMA искане да затвори. Наистина ли искате да продължите?"
"Return Item Attribute","Връщане на атрибут на елемент"
"Edit Return Item Attribute ""%1""","Редактиране на атрибут на рекламация елемент ""%1"""
"New Return Item Attribute","Нов атрибут за върнат продукт"
"Submit Returns","Подаване на рекламации"
"Add Selected Product(s) to returns","Добави избрания продукт за връщане"
"Remaining Qty","Остатъчно количество:"
"Requested Qty","Искано количество"
"Reason to Return","Причина за връщане"
"Add Details","Добавяне на детайли"
"The wrong RMA was requested.","Грешен RMA е бил поискан."
"This is the wrong RMA order ID.","Това е грешен RMA на ИД на поръчка."
"Invalid RMA","Невалиден RMA"
"Please enter a valid message.","Моля въведете валидно съобщение."
"We cannot add the RMA history.","Не може да добавите историята на RMA."
"Invalid order","Невалидна поръчка"
"We can't retrieve the product list right now.","Не може да извлече списъка с продукти в момента."
"Please specify a carrier.","Задайте превозвач."
"Please enter a tracking number.","Моля, въведете номер за проследяване."
"We cannot initialize an RMA to add a tracking number.","Не може да инициализира RMA, за да добавите номер за проследяване."
"We can't add a message right now.","Не може да добавите съобщение точно сега."
"New Return","Ново връщане"
"%1 RMA(s) cannot be closed","%1 RMA(s) не може да бъде затворен"
"We cannot close the RMA request(s).","Не може да затвори запитване(ия) за RMA."
"%1 RMA (s) have been closed.","%1 RMA (s) са били затворени."
"You created a shipping label.","Създадохте етикет за доставка."
"We can't create a shipping label right now.","Не може да създаде етикет за доставка точно сега."
"Manage RMA Item Attributes","Управление на RMA елемент атрибути"
"You deleted the RMA attribute.","Изтрихте атрибута на RMA."
"We can't delete the RMA item attribute right now.","Не може да изтрие атрибут на елемент на RMA точно сега."
"Edit Return Item Attribute","Редактиране на атрибут на обратен елемент"
"Returns Attributes","Атрибути за връщане"
"New Return Attribute","Нов атрибут за рекламация"
"You saved the RMA item attribute.","Запазихте RMA елемента на атрибут."
"Something went wrong while saving the RMA item attribute.","Нещо се обърка, докато запазвахте RMA елемента на атрибут."
"An attribute with the same code already exists.","Вече съществува атрибут със същия код (%1)."
"The wrong RMA item was requested.","Грешен елемент от RMA е поискан."
"We cannot display the item attributes.","Не може да покаже елемент атрибути."
"There are no applicable items for return in this order.","Няма приложими елементи за връщане в този ред."
"We don't recognize or support the file extension in shipment %1.","Не се признава или поддържа разширението на файла в пратка %1."
"Something went wrong creating a shipping label.","Нещо се обърка, създаване на етикет за доставка."
"A quantity you're trying to add exceeds the number of products we shipped.","Количествотито, което се опитвате да добавите надвишава броя на продукти, които сме изпратили."
"Products should be added to package(s)","Продуктите трябва да бъдат добавени към пакети"
"Please enter a valid value.","Моля въведете правилна стойност."
"This is the wrong RMA ID.","Това е грешно ИД на RMA."
"We cannot display the available shipping methods.","Не може да покаже наличните методи за доставка."
"We cannot initialize an RMA to delete a tracking number.","Не може да инициализира RMA, за да изтриете номера за проследяване."
"We can't delete the tracking number right now.","Не може да изтрие номер за проследяване точно сега."
"We can't save this RMA.","Не може да запише това RMA."
"You saved the RMA request.","Записахте RMA искането."
"You did not email your customer. Please check your email settings.","Не изпратихте имейл до клиента ви. Проверете настройките на вашия имейл."
"You submitted the RMA request.","Подадохте RMA искането."
"No items for bundle product","Няма елементи за пакет продукт"
"The wrong order ID or item ID was requested.","Зададено грешно ИД на поръчка или на продукт."
"Shipping Labels are not allowed.","Етикети за доставка не са позволени."
"Please select a valid carrier.","Моля изберете валиден превозвач."
"Please enter a valid tracking number.","Моля въведете валиден проследяващ номер."
"We can't add a label right now.","Не може да добави етикет точно сега."
"You selected the wrong RMA.","Избрали сте грешен RMA."
"We can't create a return transaction for order #%1.","Не може да създаде транзакция по рекламация за поръчка #%1."
"You submitted Return #%1.","Подадохте връщане #%1."
"We can't create a return right now. Please try again later.","Не може да създаде връщане сега. Моля, опитайте отново по-късно."
"Create New Return","Създаване на ново връщане"
"We can't delete the label right now.","Не може да изтрие етикета точно сега."
"Return #%1","Върни #%1"
"Cannot add message.","Не може да добави съобщение."
"My Returns","Моите връщания"
"Tracking Information","Информация за проследяване"
"Page not found","Страницата не е намерена"
"Please check this order for errors.","Моля, проверете тази поръчка за грешки."
"Contact Email Address","Имейл адрес за контакт"
"Only one RMA is available for printing","Само един RMA е наличен за печат"
"Return # ","Върни # "
"Return Date: ","Дата на връщане: "
"Order # ","Поръчка # "
"Ordered: ","Поръчан: "
"Return Address:","Адрес за връщане:"
"There is an error in quantities for item %1.","Има грешка в количества за позиция %1."
"Authorized Qty","Оторизирано количество"
"Returned Qty","Върнато количество"
"Approved Qty","Одобрено количество"
"%1 for item %2 cannot be empty.","%1 за %2 елемент не може да бъде празно."
"You cannot return %1.","Не може да върнете %1."
"A quantity of %1 is greater than you can return.","Количество на %1 е по-голямо, отколкото можете да върнете."
"You entered an invalid type: ""%1"".","Въведохте невалиден тип: ""%1""."
"You entered an invalid email address: ""%1"".","Въведохте Невалиден имейл адрес: ""%1""."
"You entered an invalid hostname: ""%1""","Въведохте невалидно име на хост: ""%1"""
"""%1"" is longer than allowed.","""%1"" вече не е разрешено."
"We can't save this RMA. No items were specified.","Не може да запише това RMA. Зададени са никакви елементи."
"Partially Authorized","Частично разрешен"
"Return Received","Получени връщания"
"Return Partially Received","Връщане частично получено"
"Partially Approved","Частично одобрен"
"Partially Rejected","Частично отхвърлени"
Denied,Отказан
"Processed and Closed","Обработени и затворени"
"This is the wrong RMA item status.","Това е грешен елемент статус на RMA."
"We placed your Return request.","Наредихме вашето искане за рекламация."
"We authorized your Return request.","Разрешихме вашето искане за рекламация."
"We partially authorized your Return request.","Частично упълномощихме вашето искане за рекламация."
"We received your Return request.","Получихме вашето искане за рекламация."
"We partially received your Return request.","Получихме частично вашето искане за рекламация."
"We partially approved your Return request.","Частично одобрихме вашето искане за рекламация."
"We partially rejected your Return request.","Частично отхвърлихме вашето искане за рекламация."
"We closed your Return request.","Затворихме вашето искане за рекламация."
"We processed and closed your Return request.","Обработихме и затворихме вашето искане за рекламация."
"ID cannot be an empty","ИД не може да бъде празен"
"Please enter a valid comment.","Моля въведете валиден коментар."
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Имаме нужда от повече информация за да създадем вашите етикети за доставка. Проверете настройките за съхраняване на информация и доставка."
"No detail for number ""%1""","Няма подробности за номер ""%1"""
"Shipment does not exists.","Експедиционна бележка не съществува."
"We can't load track with retrieving identifier right now.","Проследяването не може да бъде извършено в момента."
"No detail for number ""' . . '""","Няма подробности за номер """".. """""
"All Items","Всички елементи"
"Individual Items","Отделни елементи"
"Account &amp; Shipping Information","Сметка &amp; доставка информация"
"RMA Totals","RMA суми"
"Request Details","Заявка за подробности"
"Customer Name","Име на клиент"
"RMA History","RMA история"
"Comment Text","Текст на коментар"
"Visible on Storefront","Видим в магазина"
"Customer Service","Обслужване на клиенти"
"Not Notified","Не е уведомен"
"Return Address","Адрес за връщане"
"Order Shipping Address","Поръчка адрес за доставка"
"Delete Line","Изтрий ред"
"Customs Value","Стойност по избор"
"Qty Ordered","Поръчано количество"
"Change shipping method.","Промяна на метода на доставка."
"No authorized items or allowed shipping methods","Няма разрешени елементи или разрешени методи за доставка"
Carrier,Куриер
Number,Брой
"Create Shipping Label","Създаване на етикет за доставка"
"Enabled when authorized items require a new shipment.","Разрешен, когато разрешени елементи изискват нова експедиционна бележка."
"Order &amp; Account Information","Поръчка &amp; информация за акаунта"
"Return Totals","Връщане на суми"
"Return Confirmation","Потвърждаване на рекламация"
"Email Returns Confirmation","Имейл за потвърждение за връщане"
"RMA Items Requested for","Заявените за RMA артикули"
"Please Select Products to Add","Моля, изберете продукти за добавяне"
"Return items","Елементи за връщане"
Sub-items,Поделементи
"Quantity To Return","Количество за връщане"
"Remaining Quantity:","Остатъчно количество:"
"New Return for Order %1","Ново връщане за поръчка %1"
"Return Items Information","Информация за връщане на продукти"
"Add Item To Return","Добавяне на елемент за връщане"
"Return #","Върни #"
"Ship From","Доставка от"
"Return Status","Статус на рекламация"
"View Return","Изглед на връщане"
"You have placed no returns.","Не сте направили никакви връщания."
Packages,Пакети
Package,Пакет
Length,Дължина
"Total Weight","Общо тегло"
"Items in the Package","Елементи в пакет"
"Are you sure you want to delete this tracking information?","Наистина ли искате да изтриете тази информация за проследяване?"
"Request Information","Искане информация"
"Date Requested","Датата се изисква"
"Shipping and Tracking Information","Експедиране и проследяване на информация"
"Track this shipment","Проследяване на тази експедиционна бележка"
"Items Return Requested For","Елементи връщане, поискано за"
"Request Qty","Искано количество"
"Hide Details","Скрий детайлите"
"Show Details","Покажи детайли"
"Questions and Answers","Въпроси и отговори"
Questions,Въпроси
Answers,Отговори
"Leave Comment","Оставете коментар"
"%store_name:  New customer comment","%store_name: нов коментар на клиент"
"New Comment for RMA #%increment_id","Нов коментар за RMA #%increment_id"
"Customer %name has left a new comment:","Клиент %name е написал нов коментар:"
"%store_name : New Return #%increment_id","%store_name: ново връщане # %increment_id"
"Your return request has been updated. Please see below.","Вашето искане за рекламация е регистрирано. Моля, вижте по-долу."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Можете да проверите състоянието на вашето завръщане като <a href=""%account_url""> влезете във вашия акаунт</a> или <a href=""%form_url""> с помощта на вашата поръчка номер</a>."
"Your Return #%increment_id - %status_label","Вашата рекламация #%increment_id - %status_label"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Можете да проверите състоянието на връщане <a href=""%form_url""> с вашата поръчка номер</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Ако имате някакви въпроси относно рекламацията си, моля свържете се с нас на <a href=""mailto:%support_email""> %support_email</a>."
"We received your return request. You will be notified when your request is reviewed.","Получихме вашето искане за рекламация. Вие ще бъдете уведомени, когато вашето искане се преразглежда."
"Placed on %created_at","Пуснати на %created_at"
"Click Details for more required fields.","Щракнете върху подробни данни за още задължителни полета."
"Create Packages","Създаване на пакети"
"Add Package","Добавяне на пакет"
"RMA Settings","RMA настройки"
"Enable RMA on Storefront","Разреши Връщане и рекламации в магазина"
"Enable RMA on Product Level","Разреши RMA на ниво продукт"
"Use Store Address","Използвай адреса на магазина"
"Contact Name","Име на контакта"
"RMA Email Sender","RMA имейл подател"
"RMA Email Template","RMA имейл шаблон"
"RMA Email Template for Guest","RMA имейл шаблон за гости"
"Send RMA Email Copy To","Изпрати RMA имейл копие до"
"Send RMA Email Copy Method","Изпрати RMA имейл копие метод"
"RMA Authorization","RMA разрешение"
"RMA Authorization Email Sender","RMA разрешение имейл подател"
"RMA Authorization Email Template","RMA разрешение имейл шаблон"
"RMA Authorization Email Template for Guest","RMA разрешение имейл шаблон за гости"
"Send RMA Authorization Email Copy To","Изпрати RMA разрешение имейл копие до"
"Send RMA Authorization Email Copy Method","Изпрати RMA разрешение имейл копие метод"
"RMA Admin Comments","RMA Admin коментари"
"RMA Comment Email Sender","RMA коментар имейл подател"
"RMA Comment Email Template","RMA коментар имейл шаблон"
"RMA Comment Email Template for Guest","RMA коментар имейл шаблон за гости"
"Send RMA Comment Email Copy To","Изпрати RMA коментар имейл копие до"
"RMA Customer Comments","Коментари на клиенти за RMA"
"RMA Comment Email Recipient","RMA коментар имейл получател"
"Enabled for RMA","Разрешено за RMA"
"The label cannot be created for '%1' because the product does not exist in the system.","Етикетът не може да бъде създаден за ""%1"", тъй като продуктът не съществува в системата."
"The service is unknown. Verify the service and try again.","Услугата е непозната. Проверете услугата и опитайте пак."
"The entity that was requested doesn't exist. Verify the entity and try again.","Заявеният продукт не съществува. Проверете продукта и опитайте пак."
Feed,Източник
"Miscellaneous Feeds","Разни емисии"
"Get Feed","Вземи емисия"
"RSS Feeds Section","RSS емисии "
"RSS Feeds","RSS емисии"
"Rss Config","Rss конфигурация"
"Enable RSS","Разрешаване на RSS"
"Any message","Всяко съобщение"
"Please choose a valid discount amount.","Изберете валидна стойност на отстъпката."
"End Date must follow Start Date.","Крайната дата трябва да е след начална дата."
"Please specify Customer Groups.","Задайте групи клиенти."
by,от
"Please choose an action to add.","Моля изберете действие за добавяне."
"Perform following actions","Извърши следните действия"
"does not contain","не съдържа"
ALL,ВСИЧКИ
ANY,ВСЕКИ
TRUE,ВЯРНО
FALSE,ФАЛШИВИ
"If %1 of these conditions are %2:","Ако %1 от тези условия са %2:"
"Unknown condition operator","Неизвестна грешка в Magento"
"There is no information about associated entity type ""%1"".","Няма информация за асоцииран обект тип ""%1""."
"is undefined","е неопределен"
"Credit Memos","Кредитни известия"
Invoices,Фактури
"We can't get the order instance right now.","Не може да получи екземпляра на поръчката точно сега."
"Create New Order","Създай нова поръчка"
"Save Order Address","Записване на адрес на поръчка"
"Edit Order %1 %2 Address","Редактиране на адрес на поръчка %1 %2"
"Order Address Information","Информация за адреса на поръчка"
"Please correct the parent block for this block.","Коригирайте родителския блок за този блок."
"Submit Order","Подаване на поръчка"
"Are you sure you want to cancel this order?","Наистина ли искате да отмените тази поръчка?"
"Order Comment","Коментар за поръчка"
"Please select a customer","Моля, изберете клиент"
"Edit Order #%1","Редактиране на поръчка #%1"
"Create New Order for %1 in %2","Създайте нова поръчка за %1 в %2"
"Create New Order in %1","Създаване на нов ред в %1"
"Create New Order for %1","Създайте нова поръчка за %1"
"Create New Order for New Customer","Създайте нова поръчка за нов клиент"
"Items Ordered","Поръчани артикули"
"This product is disabled.","Този продукт е забранен."
"Buy %1 for price %2","Купи %1 на цена %2"
"Item ordered qty","Артикул, поръчан количество"
"%1 with %2 discount each","%1 с %2 отстъпка"
"%1 for %2","%1 за ""%2"""
"* - Enter custom price including tax","* - Въведете потребителски цени, включително данъчни"
"* - Enter custom price excluding tax","* - Въведете потребителски цена без данък"
"This product does not have any configurable options","Този продукт няма конфигурируеми опции"
"Please select products","Моля, изберете продукти."
"Add Selected Product(s) to Order","Добави избраните продукти към поръчката"
"Update Changes","Актуализирай промените"
"Are you sure you want to delete all items from shopping cart?","Наистина ли искате да изтриете всички продукти от количката?"
"Products in Comparison List","Списък за сравнение на продукти"
"Last Ordered Items","Последно поръчани артикули"
"Please select a store","Моля, изберете магазин"
"Order Totals",Всичко
"Shipping Incl. Tax (%1)","Доставка вкл. данък (%1)"
"Shipping Excl. Tax (%1)","Доставка без ДДС (%1)"
"New Credit Memo for Invoice #%1","Ново кредитно известие за фактура #%1"
"New Credit Memo for Order #%1","Ново кредитно известие за поръчка #%1"
"Refund Shipping (Incl. Tax)","Възстановяване на доставка (вкл. данъци)"
"Refund Shipping (Excl. Tax)","Възстановяване на доставка (без ДДС)"
"Refund Shipping","Възстановяване на доставка"
"Update Qty's","Актуализиране на кол-во"
Refund,Възстановяване
"Refund Offline","Възстановяване офлайн"
"Paid Amount","Платената сума"
"Refund Amount","Сума на възстановяване"
"Shipping Amount","Доставка сума"
"Shipping Refund","Доставка възстановяване"
"Order Grand Total","Общата сума на поръчката"
"Adjustment Refund","Регулиране на възстановяването"
"Adjustment Fee","Корекция такса"
"Send Email","Изпращане на имейл"
"Are you sure you want to send a credit memo email to customer?","Наистина ли искате да изпратите имейл с кредитно известие към клиент?"
"The credit memo email was sent.","Кредитното известие имейл е изпратен."
"The credit memo email wasn't sent.","Кредитното известие имейл не беше изпратен."
"Credit Memo #%1 | %3 | %2 (%4)","Кредитни известия #%1 | %3 | %2 (%4)"
"Total Refund",Общо:
"New Invoice and Shipment for Order #%1","Нова фактура и доставка за поръчка #%1"
"New Invoice for Order #%1","Нова фактура за поръчка #%1"
"Submit Invoice and Shipment","Представяне на фактура и доставка"
"Submit Invoice","Представя фактура"
